LAST SEEN   TYPE      REASON                  OBJECT                                                                         MESSAGE
1s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z            MountVolume.SetUp failed for volume "router-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-gateway-server-cert" not found
9s          Normal    ScalingReplicaSet       deployment/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment                    Scaled up replica set apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c9999 from 0 to 1
9s          Normal    WaitForFirstConsumer    persistentvolumeclaim/redis-data-redis-master-0                                waiting for first consumer to be created before binding
9s          Normal    ExternalProvisioning    persistentvolumeclaim/redis-data-redis-master-0                                Waiting for a volume to be created either by the external provisioner 'pd.csi.storage.gke.io' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
9s          Normal    Provisioning            persistentvolumeclaim/redis-data-redis-master-0                                External provisioner is provisioning volume for claim "apptest-cjbnvn9r/redis-data-redis-master-0"
5s          Normal    ProvisioningSucceeded   persistentvolumeclaim/redis-data-redis-master-0                                Successfully provisioned volume pvc-8a31510e-07da-4923-8f6f-994bf1551d12
4s          Normal    Scheduled               pod/redis-master-0                                                             Successfully assigned apptest-cjbnvn9r/redis-master-0 to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
13s         Normal    NoPods                  poddisruptionbudget/redis-master                                               No matching pods found
9s          Normal    SuccessfulCreate        statefulset/redis-master                                                       create Claim redis-data-redis-master-0 Pod redis-master-0 in StatefulSet redis-master success
9s          Normal    SuccessfulCreate        statefulset/redis-master                                                       create Pod redis-master-0 in StatefulSet redis-master successful
