LAST SEEN   TYPE      REASON                  OBJECT                                                                         MESSAGE
8s          Normal    Scheduled               pod/apkagent-568cd8f787-cx797                                                  Successfully assigned apptest-cjbnvn9r/apkagent-568cd8f787-cx797 to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
1s          Warning   FailedMount             pod/apkagent-568cd8f787-cx797                                                  MountVolume.SetUp failed for volume "apk-agent-certificates" : secret "apk-agent-server-cert" not found
9s          Normal    SuccessfulCreate        replicaset/apkagent-568cd8f787                                                 Created pod: apkagent-568cd8f787-cx797
9s          Normal    ScalingReplicaSet       deployment/apkagent                                                            Scaled up replica set apkagent-568cd8f787 from 0 to 1
9s          Normal    Scheduled               pod/apptest-cjbnvn9r-acp-deployment-1-57955fdcc4-qlss4                         Successfully assigned apptest-cjbnvn9r/apptest-cjbnvn9r-acp-deployment-1-57955fdcc4-qlss4 to gke-wso2-apim-gke-test-cpu-pool-583b68cf-21fl
9s          Normal    Pulling                 pod/apptest-cjbnvn9r-acp-deployment-1-57955fdcc4-qlss4                         Pulling image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/wso2am-acp:4.5"
9s          Normal    Pulled                  pod/apptest-cjbnvn9r-acp-deployment-1-57955fdcc4-qlss4                         Successfully pulled image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/wso2am-acp:4.5" in 495ms (495ms including waiting). Image size: 1220921489 bytes.
9s          Normal    Created                 pod/apptest-cjbnvn9r-acp-deployment-1-57955fdcc4-qlss4                         Created container: wso2am-control-plane
9s          Normal    Started                 pod/apptest-cjbnvn9r-acp-deployment-1-57955fdcc4-qlss4                         Started container wso2am-control-plane
10s         Normal    SuccessfulCreate        replicaset/apptest-cjbnvn9r-acp-deployment-1-57955fdcc4                        Created pod: apptest-cjbnvn9r-acp-deployment-1-57955fdcc4-qlss4
10s         Normal    ScalingReplicaSet       deployment/apptest-cjbnvn9r-acp-deployment-1                                   Scaled up replica set apptest-cjbnvn9r-acp-deployment-1-57955fdcc4 from 0 to 1
13s         Normal    NoPods                  poddisruptionbudget/apptest-cjbnvn9r-acp-pdb                                   No matching pods found
23s         Normal    Scheduled               pod/apptest-cjbnvn9r-deployer-tlf2b                                            Successfully assigned apptest-cjbnvn9r/apptest-cjbnvn9r-deployer-tlf2b to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
24s         Normal    Pulling                 pod/apptest-cjbnvn9r-deployer-tlf2b                                            Pulling image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/deployer:4.5"
22s         Normal    Pulled                  pod/apptest-cjbnvn9r-deployer-tlf2b                                            Successfully pulled image "us-docker.pkg.dev/wso2-marketplace-public/wso2-marketplace/deployer:4.5" in 1.38s (1.38s including waiting). Image size: 130483541 bytes.
22s         Normal    Created                 pod/apptest-cjbnvn9r-deployer-tlf2b                                            Created container: deployer
22s         Normal    Started                 pod/apptest-cjbnvn9r-deployer-tlf2b                                            Started container deployer
24s         Normal    SuccessfulCreate        job/apptest-cjbnvn9r-deployer                                                  Created pod: apptest-cjbnvn9r-deployer-tlf2b
4s          Warning   BackoffLimitExceeded    job/apptest-cjbnvn9r-deployer                                                  Job has reached the specified backoff limit
9s          Normal    Scheduled               pod/apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6-7mrzs               Successfully assigned apptest-cjbnvn9r/apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6-7mrzs to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
2s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6-7mrzs               MountVolume.SetUp failed for volume "enforcer-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-enforcer-server-cert" not found
2s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6-7mrzs               MountVolume.SetUp failed for volume "adapter-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-adapter-server-cert" not found
10s         Normal    SuccessfulCreate        replicaset/apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6              Created pod: apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6-7mrzs
10s         Normal    ScalingReplicaSet       deployment/apptest-cjbnvn9r-wso2-apk-adapter-deployment                        Scaled up replica set apptest-cjbnvn9r-wso2-apk-adapter-deployment-b599d79c6 from 0 to 1
10s         Normal    SuccessfulCreate        replicaset/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5d596d46   Created pod: apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq
9s          Normal    Scheduled               pod/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq            Successfully assigned apptest-cjbnvn9r/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
2s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq            MountVolume.SetUp failed for volume "common-controller-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-common-controller-server-cert" not found
2s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq            MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-ratelimiter-server-cert" not found
2s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5nf4bq            MountVolume.SetUp failed for volume "adapter-webhook-server-cert" : secret "apptest-cjbnvn9r-wso2-apk-webhook-server-cert" not found
10s         Normal    ScalingReplicaSet       deployment/apptest-cjbnvn9r-wso2-apk-common-controller-deployment              Scaled up replica set apptest-cjbnvn9r-wso2-apk-common-controller-deployment-7b5d596d46 from 0 to 1
9s          Normal    Scheduled               pod/apptest-cjbnvn9r-wso2-apk-config-ds-deployment-76f6fc7b79-jxmbz            Successfully assigned apptest-cjbnvn9r/apptest-cjbnvn9r-wso2-apk-config-ds-deployment-76f6fc7b79-jxmbz to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
2s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-config-ds-deployment-76f6fc7b79-jxmbz            MountVolume.SetUp failed for volume "config-ds-tls-volume" : secret "apptest-cjbnvn9r-wso2-apk-config-ds-server-cert" not found
10s         Normal    SuccessfulCreate        replicaset/apptest-cjbnvn9r-wso2-apk-config-ds-deployment-76f6fc7b79           Created pod: apptest-cjbnvn9r-wso2-apk-config-ds-deployment-76f6fc7b79-jxmbz
10s         Normal    ScalingReplicaSet       deployment/apptest-cjbnvn9r-wso2-apk-config-ds-deployment                      Scaled up replica set apptest-cjbnvn9r-wso2-apk-config-ds-deployment-76f6fc7b79 from 0 to 1
9s          Normal    SuccessfulCreate        replicaset/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-668466cf96     Created pod: apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn
9s          Normal    Scheduled               pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn            Successfully assigned apptest-cjbnvn9r/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
1s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn            MountVolume.SetUp failed for volume "adapter-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-adapter-server-cert" not found
1s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn            MountVolume.SetUp failed for volume "router-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-gateway-server-cert" not found
1s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn            MountVolume.SetUp failed for volume "ratelimiter-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-ratelimiter-server-cert" not found
1s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-66846t7qzn            MountVolume.SetUp failed for volume "enforcer-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-enforcer-server-cert" not found
10s         Normal    ScalingReplicaSet       deployment/apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment                Scaled up replica set apptest-cjbnvn9r-wso2-apk-gateway-runtime-deployment-668466cf96 from 0 to 1
10s         Normal    EnsuringLoadBalancer    service/apptest-cjbnvn9r-wso2-apk-gateway-service                              Ensuring load balancer
9s          Normal    SuccessfulCreate        replicaset/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c9999         Created pod: apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z
8s          Normal    Scheduled               pod/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z            Successfully assigned apptest-cjbnvn9r/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z to gke-wso2-apim-gke-test-cpu-pool-370e02e4-tdv6
1s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z            MountVolume.SetUp failed for volume "common-controller-truststore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-common-controller-server-cert" not found
1s          Warning   FailedMount             pod/apptest-cjbnvn9r-wso2-apk-ratelimiter-deployment-5d9c9c999wt85z            MountVolume.SetUp failed for volume "ratelimiter-keystore-secret-volume" : secret "apptest-cjbnvn9r-wso2-apk-ratelimiter-server-cert" not found
